bbox, 1658.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 1.7533, 1.6714, -1.2340, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7495, 1.6714, -1.2366, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7457, 1.6714, -1.2391, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7419, 1.6714, -1.2417, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7380, 1.6714, -1.2442, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7342, 1.6714, -1.2467, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7303, 1.6714, -1.2492, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7264, 1.6714, -1.2516, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7225, 1.6714, -1.2541, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7186, 1.6714, -1.2565, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7146, 1.6714, -1.2589, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7107, 1.6714, -1.2612, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7067, 1.6714, -1.2636, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7027, 1.6714, -1.2659, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6987, 1.6714, -1.2682, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6946, 1.6714, -1.2705, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6905, 1.6714, -1.2727, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6865, 1.6714, -1.2750, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6824, 1.6714, -1.2772, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6782, 1.6714, -1.2794, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6741, 1.6714, -1.2815, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6699, 1.6714, -1.2837, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6658, 1.6714, -1.2858, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6616, 1.6714, -1.2879, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6574, 1.6714, -1.2900, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6531, 1.6714, -1.2920, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6489, 1.6714, -1.2941, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6446, 1.6714, -1.2961, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6403, 1.6714, -1.2981, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6360, 1.6714, -1.3000, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6317, 1.6714, -1.3020, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.6273, 1.6714, -1.3039, 0.000000, 1.000000, 0.000000, 0.000000
