bbox, 1535.0032, 600.0027, -1040.0000, 1400.0001, 400.0019, 550.0000
cut, 1.7476, 0.7951, -0.6326, 0.007170, 0.044600, 0.997002, -0.062822
cut, 1.7435, 0.7951, -0.6350, 0.007161, 0.044440, 0.997010, -0.062808
cut, 1.7393, 0.7951, -0.6375, 0.007154, 0.044308, 0.997018, -0.062782
cut, 1.7352, 0.7951, -0.6400, 0.007149, 0.044205, 0.997025, -0.062742
cut, 1.7310, 0.7951, -0.6425, 0.007147, 0.044137, 0.997031, -0.062687
cut, 1.7268, 0.7950, -0.6450, 0.007148, 0.044102, 0.997037, -0.062617
cut, 1.7227, 0.7950, -0.6475, 0.007148, 0.044057, 0.997043, -0.062559
cut, 1.7185, 0.7950, -0.6501, 0.007145, 0.043987, 0.997048, -0.062520
cut, 1.7144, 0.7950, -0.6526, 0.007140, 0.043893, 0.997054, -0.062497
cut, 1.7103, 0.7950, -0.6552, 0.007134, 0.043779, 0.997059, -0.062490
cut, 1.7062, 0.7950, -0.6578, 0.007125, 0.043647, 0.997065, -0.062495
cut, 1.7021, 0.7949, -0.6604, 0.007115, 0.043500, 0.997070, -0.062512
cut, 1.6981, 0.7949, -0.6630, 0.007104, 0.043341, 0.997076, -0.062536
cut, 1.6940, 0.7949, -0.6656, 0.007092, 0.043172, 0.997081, -0.062568
cut, 1.6900, 0.7949, -0.6682, 0.007080, 0.042995, 0.997087, -0.062603
cut, 1.6860, 0.7949, -0.6708, 0.007067, 0.042814, 0.997092, -0.062641
cut, 1.6820, 0.7949, -0.6735, 0.007054, 0.042631, 0.997098, -0.062679
cut, 1.6780, 0.7948, -0.6761, 0.007041, 0.042448, 0.997103, -0.062715
cut, 1.6740, 0.7948, -0.6788, 0.007028, 0.042269, 0.997109, -0.062748
cut, 1.6700, 0.7948, -0.6815, 0.007016, 0.042095, 0.997115, -0.062774
cut, 1.6660, 0.7948, -0.6842, 0.007005, 0.041930, 0.997121, -0.062791
cut, 1.6621, 0.7948, -0.6869, 0.006995, 0.041777, 0.997127, -0.062799
cut, 1.6581, 0.7947, -0.6897, 0.006986, 0.041636, 0.997133, -0.062794
cut, 1.6542, 0.7947, -0.6924, 0.006980, 0.041513, 0.997140, -0.062774
cut, 1.6502, 0.7947, -0.6952, 0.006974, 0.041408, 0.997146, -0.062738
cut, 1.6463, 0.7947, -0.6980, 0.006972, 0.041324, 0.997153, -0.062683
cut, 1.6423, 0.7946, -0.7009, 0.006971, 0.041265, 0.997160, -0.062607
cut, 1.6384, 0.7946, -0.7037, 0.006973, 0.041233, 0.997168, -0.062508
cut, 1.6344, 0.7946, -0.7066, 0.006978, 0.041229, 0.997176, -0.062384
cut, 1.6305, 0.7946, -0.7095, 0.006986, 0.041258, 0.997184, -0.062233
cut, 1.6265, 0.7945, -0.7124, 0.006998, 0.041322, 0.997193, -0.062053
cut, 1.6226, 0.7945, -0.7153, 0.007013, 0.041423, 0.997201, -0.061842
cut, 1.6186, 0.7945, -0.7183, 0.007032, 0.041563, 0.997211, -0.061597
cut, 1.6147, 0.7945, -0.7213, 0.007055, 0.041746, 0.997220, -0.061317
cut, 1.6107, 0.7944, -0.7243, 0.007082, 0.041974, 0.997230, -0.060999
cut, 1.6067, 0.7944, -0.7274, 0.007114, 0.042249, 0.997240, -0.060641
cut, 1.6027, 0.7944, -0.7305, 0.007151, 0.042575, 0.997250, -0.060242
cut, 1.5988, 0.7943, -0.7336, 0.007192, 0.042954, 0.997260, -0.059798
cut, 1.5948, 0.7943, -0.7367, 0.007239, 0.043387, 0.997270, -0.059309
cut, 1.5907, 0.7943, -0.7399, 0.007292, 0.043879, 0.997280, -0.058772
cut, 1.5867, 0.7943, -0.7431, 0.007350, 0.044431, 0.997290, -0.058185
cut, 1.5857, 0.7942, -0.7439, 0.007366, 0.044582, 0.997292, -0.058026
cut, 1.5855, 0.7943, -0.7389, 0.007378, 0.041811, 0.997615, -0.054421
