bbox, 1876.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 2.8146, 1.0344, -0.7713, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8133, 1.0344, -0.7767, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8119, 1.0344, -0.7821, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8105, 1.0344, -0.7874, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8091, 1.0344, -0.7928, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8077, 1.0344, -0.7981, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8062, 1.0344, -0.8034, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8048, 1.0344, -0.8086, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8033, 1.0344, -0.8139, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8018, 1.0344, -0.8191, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8002, 1.0344, -0.8243, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7987, 1.0344, -0.8295, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7971, 1.0344, -0.8346, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7956, 1.0344, -0.8398, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7940, 1.0344, -0.8449, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7923, 1.0344, -0.8500, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7907, 1.0344, -0.8550, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7891, 1.0344, -0.8601, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7874, 1.0344, -0.8651, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7857, 1.0344, -0.8701, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7840, 1.0344, -0.8751, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7822, 1.0344, -0.8800, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7805, 1.0344, -0.8850, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7787, 1.0344, -0.8899, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7769, 1.0344, -0.8948, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7751, 1.0344, -0.8997, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7733, 1.0344, -0.9045, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7714, 1.0344, -0.9093, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7696, 1.0344, -0.9141, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7677, 1.0344, -0.9189, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7658, 1.0344, -0.9237, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7639, 1.0344, -0.9284, 0.000000, 1.000000, 0.000000, 0.000000
