bbox, -467.7989, 1848.5463, -1670.8638, 1800.0001, 700.7219, 1200.0000
cut, 0.7184, 2.2814, -0.7692, 0.107751, -0.603905, 0.777461, -0.138717
cut, 0.7136, 2.2802, -0.7691, 0.106309, -0.604161, 0.777790, -0.136861
cut, 0.7087, 2.2789, -0.7691, 0.104861, -0.604414, 0.778116, -0.134997
cut, 0.7039, 2.2777, -0.7691, 0.103408, -0.604664, 0.778438, -0.133127
cut, 0.6990, 2.2765, -0.7691, 0.101949, -0.604911, 0.778757, -0.131249
cut, 0.6942, 2.2752, -0.7691, 0.100485, -0.605156, 0.779072, -0.129364
cut, 0.6894, 2.2740, -0.7691, 0.099016, -0.605399, 0.779384, -0.127472
cut, 0.6845, 2.2727, -0.7691, 0.097541, -0.605638, 0.779692, -0.125573
cut, 0.6797, 2.2715, -0.7691, 0.096060, -0.605875, 0.779997, -0.123667
cut, 0.6748, 2.2703, -0.7691, 0.094575, -0.606108, 0.780298, -0.121754
cut, 0.6700, 2.2690, -0.7691, 0.093084, -0.606339, 0.780595, -0.119835
cut, 0.6651, 2.2678, -0.7691, 0.091588, -0.606567, 0.780888, -0.117909
cut, 0.6603, 2.2666, -0.7691, 0.090086, -0.606792, 0.781177, -0.115976
cut, 0.6554, 2.2653, -0.7691, 0.088580, -0.607013, 0.781463, -0.114037
cut, 0.6506, 2.2641, -0.7691, 0.087069, -0.607232, 0.781744, -0.112091
cut, 0.6458, 2.2629, -0.7690, 0.085552, -0.607447, 0.782022, -0.110139
cut, 0.6409, 2.2616, -0.7690, 0.084031, -0.607660, 0.782295, -0.108181
cut, 0.6361, 2.2604, -0.7690, 0.082505, -0.607869, 0.782564, -0.106216
cut, 0.6312, 2.2591, -0.7690, 0.080974, -0.608075, 0.782829, -0.104246
cut, 0.6264, 2.2579, -0.7690, 0.079439, -0.608277, 0.783090, -0.102269
cut, 0.6215, 2.2567, -0.7690, 0.077899, -0.608476, 0.783346, -0.100286
