bbox, 1235.0032, -774.9954, -1090.0000, 1400.0001, 550.0000, 400.0019
cut, 2.3643, -0.5015, -0.5836, 0.000000, 0.953113, 0.302614, 0.000000
cut, 2.3693, -0.5015, -0.5835, 0.000000, 0.952835, 0.303490, 0.000000
cut, 2.3743, -0.5015, -0.5835, 0.000000, 0.952556, 0.304363, 0.000000
cut, 2.3793, -0.5015, -0.5835, 0.000000, 0.952277, 0.305234, 0.000000
cut, 2.3843, -0.5015, -0.5835, 0.000000, 0.951999, 0.306102, 0.000000
cut, 2.3893, -0.5015, -0.5834, 0.000000, 0.951720, 0.306968, 0.000000
cut, 2.3943, -0.5015, -0.5834, 0.000000, 0.951441, 0.307831, 0.000000
cut, 2.3993, -0.5015, -0.5834, 0.000000, 0.951162, 0.308692, 0.000000
cut, 2.4043, -0.5015, -0.5834, 0.000000, 0.950883, 0.309550, 0.000000
cut, 2.4093, -0.5015, -0.5833, 0.000000, 0.950604, 0.310406, 0.000000
cut, 2.4143, -0.5015, -0.5833, 0.000000, 0.950325, 0.311259, 0.000000
cut, 2.4193, -0.5015, -0.5833, 0.000000, 0.950046, 0.312110, 0.000000
cut, 2.4243, -0.5015, -0.5833, 0.000000, 0.949767, 0.312958, 0.000000
cut, 2.4293, -0.5015, -0.5832, 0.000000, 0.949488, 0.313804, 0.000000
cut, 2.4343, -0.5015, -0.5832, 0.000000, 0.949209, 0.314648, 0.000000
cut, 2.4393, -0.5015, -0.5832, 0.000000, 0.948929, 0.315488, 0.000000
cut, 2.4443, -0.5015, -0.5832, 0.000000, 0.948650, 0.316327, 0.000000
cut, 2.4493, -0.5015, -0.5831, 0.000000, 0.948371, 0.317163, 0.000000
cut, 2.4543, -0.5015, -0.5831, 0.000000, 0.948092, 0.317996, 0.000000
cut, 2.4593, -0.5015, -0.5831, 0.000000, 0.947813, 0.318827, 0.000000
cut, 2.4643, -0.5015, -0.5831, 0.000000, 0.947534, 0.319656, 0.000000
cut, 2.4693, -0.5015, -0.5830, 0.000000, 0.947255, 0.320482, 0.000000
