bbox, -1199.9489, 1960.0000, -1838.0000, 2400.0000, 1200.0000, 1550.0000
cut, -0.8291, 2.5600, -0.8166, -0.020478, 0.992555, -0.119971, 0.004773
cut, -0.8288, 2.5600, -0.8188, -0.020559, 0.992558, -0.119929, 0.004784
cut, -0.8277, 2.5600, -0.8237, -0.021389, 0.992553, -0.119818, 0.004887
cut, -0.8266, 2.5600, -0.8285, -0.022220, 0.992548, -0.119708, 0.004989
cut, -0.8255, 2.5600, -0.8334, -0.023051, 0.992542, -0.119598, 0.005092
cut, -0.8244, 2.5600, -0.8383, -0.023882, 0.992535, -0.119488, 0.005195
cut, -0.8233, 2.5600, -0.8432, -0.024713, 0.992527, -0.119378, 0.005298
cut, -0.8222, 2.5600, -0.8481, -0.025544, 0.992519, -0.119267, 0.005400
cut, -0.8211, 2.5600, -0.8529, -0.026374, 0.992510, -0.119157, 0.005503
cut, -0.8200, 2.5600, -0.8578, -0.027205, 0.992500, -0.119047, 0.005606
cut, -0.8197, 2.5600, -0.8589, -0.027399, 0.992497, -0.119023, 0.005630
cut, -0.8185, 2.5600, -0.8638, -0.028241, 0.992497, -0.118824, 0.005736
cut, -0.8172, 2.5600, -0.8686, -0.029083, 0.992496, -0.118624, 0.005843
cut, -0.8160, 2.5600, -0.8735, -0.029925, 0.992494, -0.118425, 0.005950
cut, -0.8147, 2.5600, -0.8783, -0.030768, 0.992491, -0.118226, 0.006056
cut, -0.8135, 2.5600, -0.8832, -0.031610, 0.992488, -0.118026, 0.006163
cut, -0.8123, 2.5600, -0.8880, -0.032452, 0.992484, -0.117827, 0.006270
cut, -0.8110, 2.5600, -0.8928, -0.033294, 0.992479, -0.117627, 0.006376
cut, -0.8098, 2.5600, -0.8977, -0.034136, 0.992473, -0.117428, 0.006483
cut, -0.8095, 2.5600, -0.8987, -0.034320, 0.992472, -0.117385, 0.006506
cut, -0.8080, 2.5600, -0.9035, -0.035130, 0.992483, -0.117049, 0.006614
cut, -0.8066, 2.5600, -0.9083, -0.035940, 0.992492, -0.116713, 0.006722
cut, -0.8051, 2.5600, -0.9131, -0.036750, 0.992502, -0.116377, 0.006829
cut, -0.8036, 2.5600, -0.9179, -0.037560, 0.992510, -0.116041, 0.006937
cut, -0.8022, 2.5600, -0.9227, -0.038370, 0.992517, -0.115705, 0.007045
cut, -0.8007, 2.5600, -0.9274, -0.039180, 0.992524, -0.115369, 0.007153
cut, -0.7993, 2.5600, -0.9322, -0.039991, 0.992530, -0.115033, 0.007260
cut, -0.7978, 2.5600, -0.9370, -0.040801, 0.992535, -0.114698, 0.007368
cut, -0.7975, 2.5600, -0.9381, -0.040989, 0.992536, -0.114620, 0.007393
cut, -0.7956, 2.5600, -0.9428, -0.040535, 0.992529, -0.114847, 0.007331
cut, -0.7938, 2.5600, -0.9474, -0.040081, 0.992521, -0.115075, 0.007270
cut, -0.7920, 2.5600, -0.9521, -0.039627, 0.992514, -0.115302, 0.007208
cut, -0.7902, 2.5600, -0.9567, -0.039173, 0.992506, -0.115529, 0.007146
cut, -0.7884, 2.5600, -0.9614, -0.038719, 0.992497, -0.115756, 0.007084
cut, -0.7865, 2.5600, -0.9660, -0.038268, 0.992488, -0.115988, 0.007023
cut, -0.7847, 2.5600, -0.9707, -0.037823, 0.992476, -0.116239, 0.006961
cut, -0.7828, 2.5600, -0.9753, -0.037379, 0.992464, -0.116489, 0.006899
cut, -0.7810, 2.5600, -0.9800, -0.036935, 0.992452, -0.116739, 0.006838
cut, -0.7791, 2.5600, -0.9846, -0.036490, 0.992439, -0.116990, 0.006776
cut, -0.7773, 2.5600, -0.9893, -0.036046, 0.992427, -0.117240, 0.006715
cut, -0.7763, 2.5600, -0.9917, -0.035815, 0.992420, -0.117370, 0.006683
cut, -0.7743, 2.5600, -0.9963, -0.036623, 0.992428, -0.117045, 0.006790
cut, -0.7724, 2.5600, -1.0009, -0.037432, 0.992435, -0.116720, 0.006898
cut, -0.7704, 2.5600, -1.0055, -0.038240, 0.992442, -0.116394, 0.007006
cut, -0.7684, 2.5600, -1.0101, -0.039049, 0.992448, -0.116069, 0.007113
cut, -0.7665, 2.5600, -1.0147, -0.039857, 0.992453, -0.115743, 0.007221
cut, -0.7645, 2.5600, -1.0193, -0.040666, 0.992457, -0.115418, 0.007329
cut, -0.7625, 2.5600, -1.0239, -0.041475, 0.992461, -0.115092, 0.007436
cut, -0.7606, 2.5600, -1.0285, -0.042283, 0.992464, -0.114766, 0.007544
cut, -0.7600, 2.5600, -1.0299, -0.042536, 0.992464, -0.114664, 0.007578
cut, -0.7576, 2.5600, -1.0343, -0.042944, 0.992457, -0.114572, 0.007629
cut, -0.7552, 2.5600, -1.0387, -0.043353, 0.992449, -0.114481, 0.007680
cut, -0.7528, 2.5600, -1.0431, -0.043762, 0.992442, -0.114389, 0.007731
cut, -0.7504, 2.5600, -1.0474, -0.044171, 0.992434, -0.114297, 0.007782
cut, -0.7480, 2.5600, -1.0518, -0.044580, 0.992425, -0.114205, 0.007833
cut, -0.7456, 2.5600, -1.0562, -0.044989, 0.992417, -0.114114, 0.007885
cut, -0.7432, 2.5600, -1.0606, -0.045398, 0.992409, -0.114023, 0.007936
cut, -0.7408, 2.5600, -1.0650, -0.045807, 0.992400, -0.113931, 0.007987
cut, -0.7384, 2.5600, -1.0694, -0.046216, 0.992391, -0.113840, 0.008038
cut, -0.7361, 2.5600, -1.0736, -0.046606, 0.992382, -0.113753, 0.008087
cut, -0.7337, 2.5600, -1.0779, -0.050074, 0.992426, -0.111846, 0.008581
cut, -0.7312, 2.5600, -1.0823, -0.053541, 0.992454, -0.109936, 0.009075
cut, -0.7287, 2.5600, -1.0866, -0.057009, 0.992466, -0.108024, 0.009569
cut, -0.7263, 2.5600, -1.0910, -0.060476, 0.992463, -0.106111, 0.010063
cut, -0.7238, 2.5600, -1.0953, -0.063942, 0.992443, -0.104196, 0.010557
cut, -0.7225, 2.5600, -1.0976, -0.065772, 0.992426, -0.103185, 0.010816
cut, -0.7199, 2.5600, -1.1019, -0.065945, 0.992435, -0.102992, 0.010846
cut, -0.7172, 2.5600, -1.1061, -0.066118, 0.992443, -0.102800, 0.010877
cut, -0.7145, 2.5600, -1.1104, -0.066291, 0.992451, -0.102607, 0.010908
cut, -0.7119, 2.5600, -1.1146, -0.066464, 0.992459, -0.102415, 0.010939
cut, -0.7092, 2.5600, -1.1188, -0.066638, 0.992466, -0.102223, 0.010970
cut, -0.7066, 2.5600, -1.1231, -0.066811, 0.992474, -0.102031, 0.011001
cut, -0.7039, 2.5600, -1.1273, -0.066985, 0.992482, -0.101839, 0.011032
cut, -0.7013, 2.5600, -1.1315, -0.067158, 0.992489, -0.101647, 0.011063
cut, -0.6986, 2.5600, -1.1358, -0.067332, 0.992497, -0.101455, 0.011094
cut, -0.6970, 2.5600, -1.1384, -0.067440, 0.992502, -0.101336, 0.011113
cut, -0.6940, 2.5600, -1.1424, -0.068190, 0.992496, -0.100871, 0.011221
cut, -0.6910, 2.5600, -1.1465, -0.068939, 0.992491, -0.100406, 0.011330
cut, -0.6881, 2.5600, -1.1505, -0.069689, 0.992484, -0.099941, 0.011438
cut, -0.6851, 2.5600, -1.1545, -0.070438, 0.992476, -0.099477, 0.011546
cut, -0.6821, 2.5600, -1.1585, -0.071188, 0.992468, -0.099012, 0.011655
cut, -0.6792, 2.5600, -1.1626, -0.071937, 0.992459, -0.098547, 0.011763
cut, -0.6762, 2.5600, -1.1666, -0.072686, 0.992449, -0.098082, 0.011871
cut, -0.6733, 2.5600, -1.1706, -0.073436, 0.992439, -0.097617, 0.011980
cut, -0.6720, 2.5600, -1.1723, -0.073754, 0.992434, -0.097422, 0.012025
cut, -0.6689, 2.5600, -1.1762, -0.073386, 0.992434, -0.097701, 0.011969
cut, -0.6658, 2.5600, -1.1802, -0.073019, 0.992434, -0.097980, 0.011912
cut, -0.6627, 2.5600, -1.1841, -0.072652, 0.992434, -0.098260, 0.011855
cut, -0.6596, 2.5600, -1.1880, -0.072285, 0.992434, -0.098539, 0.011799
cut, -0.6565, 2.5600, -1.1920, -0.071917, 0.992434, -0.098818, 0.011742
cut, -0.6534, 2.5600, -1.1959, -0.071553, 0.992433, -0.099101, 0.011685
cut, -0.6503, 2.5600, -1.1998, -0.071202, 0.992429, -0.099401, 0.011629
cut, -0.6472, 2.5600, -1.2037, -0.070852, 0.992424, -0.099701, 0.011572
cut, -0.6441, 2.5600, -1.2076, -0.070501, 0.992420, -0.100001, 0.011515
cut, -0.6410, 2.5600, -1.2115, -0.070150, 0.992415, -0.100301, 0.011459
cut, -0.6378, 2.5600, -1.2154, -0.069799, 0.992410, -0.100601, 0.011402
cut, -0.6358, 2.5600, -1.2180, -0.069567, 0.992407, -0.100800, 0.011365
cut, -0.6323, 2.5600, -1.2216, -0.070317, 0.992406, -0.100269, 0.011479
cut, -0.6289, 2.5600, -1.2253, -0.071068, 0.992405, -0.099738, 0.011592
cut, -0.6255, 2.5600, -1.2289, -0.071819, 0.992403, -0.099207, 0.011706
cut, -0.6220, 2.5600, -1.2325, -0.072569, 0.992400, -0.098676, 0.011820
cut, -0.6186, 2.5600, -1.2362, -0.073320, 0.992396, -0.098145, 0.011934
cut, -0.6152, 2.5600, -1.2398, -0.074070, 0.992391, -0.097615, 0.012048
cut, -0.6117, 2.5600, -1.2434, -0.074821, 0.992385, -0.097084, 0.012161
cut, -0.6083, 2.5600, -1.2471, -0.075571, 0.992379, -0.096553, 0.012275
cut, -0.6068, 2.5600, -1.2487, -0.075901, 0.992376, -0.096320, 0.012325
cut, -0.6032, 2.5600, -1.2522, -0.076588, 0.992379, -0.095723, 0.012438
cut, -0.5997, 2.5600, -1.2557, -0.077276, 0.992382, -0.095126, 0.012551
cut, -0.5961, 2.5600, -1.2592, -0.077963, 0.992384, -0.094528, 0.012664
cut, -0.5926, 2.5600, -1.2627, -0.078651, 0.992385, -0.093931, 0.012776
cut, -0.5890, 2.5600, -1.2663, -0.079338, 0.992385, -0.093334, 0.012889
cut, -0.5855, 2.5600, -1.2698, -0.080025, 0.992384, -0.092737, 0.013002
cut, -0.5819, 2.5600, -1.2733, -0.080713, 0.992383, -0.092139, 0.013115
cut, -0.5784, 2.5600, -1.2768, -0.081400, 0.992381, -0.091542, 0.013228
cut, -0.5766, 2.5600, -1.2785, -0.081734, 0.992379, -0.091251, 0.013282
cut, -0.5730, 2.5600, -1.2819, -0.082362, 0.992387, -0.090583, 0.013396
cut, -0.5693, 2.5600, -1.2853, -0.082990, 0.992394, -0.089915, 0.013509
cut, -0.5656, 2.5600, -1.2887, -0.083618, 0.992400, -0.089246, 0.013622
cut, -0.5620, 2.5600, -1.2921, -0.084245, 0.992405, -0.088578, 0.013736
cut, -0.5583, 2.5600, -1.2955, -0.084873, 0.992410, -0.087909, 0.013849
cut, -0.5546, 2.5600, -1.2989, -0.085501, 0.992413, -0.087240, 0.013962
cut, -0.5509, 2.5600, -1.3023, -0.086128, 0.992416, -0.086571, 0.014075
cut, -0.5473, 2.5600, -1.3057, -0.086756, 0.992418, -0.085902, 0.014189
cut, -0.5454, 2.5600, -1.3074, -0.087076, 0.992418, -0.085561, 0.014246
cut, -0.5414, 2.5600, -1.3105, -0.087421, 0.992412, -0.085275, 0.014301
cut, -0.5375, 2.5600, -1.3135, -0.087766, 0.992405, -0.084990, 0.014356
cut, -0.5335, 2.5600, -1.3166, -0.088111, 0.992398, -0.084704, 0.014411
cut, -0.5295, 2.5600, -1.3196, -0.088456, 0.992391, -0.084419, 0.014466
cut, -0.5256, 2.5600, -1.3226, -0.088801, 0.992384, -0.084133, 0.014520
cut, -0.5216, 2.5600, -1.3257, -0.089146, 0.992376, -0.083848, 0.014575
cut, -0.5176, 2.5600, -1.3287, -0.089492, 0.992368, -0.083563, 0.014630
cut, -0.5137, 2.5600, -1.3318, -0.089837, 0.992360, -0.083278, 0.014685
cut, -0.5097, 2.5600, -1.3348, -0.090182, 0.992352, -0.082992, 0.014739
cut, -0.5057, 2.5600, -1.3379, -0.090527, 0.992343, -0.082707, 0.014794
cut, -0.5053, 2.5600, -1.3382, -0.090561, 0.992343, -0.082679, 0.014800
cut, -0.5013, 2.5600, -1.3411, -0.090828, 0.992344, -0.082365, 0.014851
