bbox, -754.0833, 1456.7267, -1744.6004, 1510.2125, 587.9106, 1006.8083
cut, 0.6291, 2.2999, -0.6546, 0.217425, -0.573618, 0.738470, -0.279911
cut, 0.6243, 2.2987, -0.6546, 0.216384, -0.574012, 0.738977, -0.278570
cut, 0.6194, 2.2975, -0.6546, 0.215335, -0.574406, 0.739484, -0.277220
cut, 0.6146, 2.2962, -0.6546, 0.214279, -0.574801, 0.739993, -0.275861
cut, 0.6097, 2.2950, -0.6546, 0.213216, -0.575196, 0.740502, -0.274492
cut, 0.6049, 2.2938, -0.6546, 0.212145, -0.575592, 0.741011, -0.273113
cut, 0.6001, 2.2925, -0.6546, 0.211066, -0.575988, 0.741522, -0.271724
cut, 0.5952, 2.2913, -0.6546, 0.209980, -0.576385, 0.742033, -0.270326
cut, 0.5904, 2.2901, -0.6546, 0.208886, -0.576783, 0.742544, -0.268917
cut, 0.5855, 2.2888, -0.6546, 0.207784, -0.577181, 0.743056, -0.267499
cut, 0.5807, 2.2876, -0.6546, 0.206675, -0.577579, 0.743569, -0.266071
cut, 0.5758, 2.2863, -0.6546, 0.205557, -0.577977, 0.744082, -0.264633
cut, 0.5710, 2.2851, -0.6546, 0.204432, -0.578376, 0.744596, -0.263184
cut, 0.5661, 2.2839, -0.6545, 0.203299, -0.578775, 0.745110, -0.261725
cut, 0.5613, 2.2826, -0.6545, 0.202158, -0.579175, 0.745624, -0.260257
cut, 0.5564, 2.2814, -0.6545, 0.201009, -0.579575, 0.746139, -0.258777
cut, 0.5516, 2.2802, -0.6545, 0.199852, -0.579975, 0.746653, -0.257288
cut, 0.5468, 2.2789, -0.6545, 0.198687, -0.580375, 0.747169, -0.255788
cut, 0.5419, 2.2777, -0.6545, 0.197514, -0.580775, 0.747684, -0.254278
cut, 0.5371, 2.2764, -0.6545, 0.196333, -0.581176, 0.748199, -0.252757
cut, 0.5322, 2.2752, -0.6545, 0.195143, -0.581576, 0.748715, -0.251226
cut, 0.5274, 2.2740, -0.6545, 0.193946, -0.581977, 0.749231, -0.249684
cut, 0.5225, 2.2727, -0.6545, 0.192740, -0.582377, 0.749746, -0.248131
cut, 0.5177, 2.2715, -0.6545, 0.191525, -0.582778, 0.750262, -0.246568
cut, 0.5128, 2.2703, -0.6545, 0.190303, -0.583178, 0.750777, -0.244994
cut, 0.5080, 2.2690, -0.6545, 0.189072, -0.583578, 0.751293, -0.243409
cut, 0.5032, 2.2678, -0.6544, 0.187832, -0.583978, 0.751808, -0.241813
cut, 0.4983, 2.2666, -0.6544, 0.186584, -0.584378, 0.752323, -0.240207
cut, 0.4935, 2.2653, -0.6544, 0.185328, -0.584778, 0.752837, -0.238589
cut, 0.4886, 2.2641, -0.6544, 0.184063, -0.585177, 0.753351, -0.236961
cut, 0.4838, 2.2628, -0.6544, 0.182789, -0.585576, 0.753865, -0.235321
cut, 0.4789, 2.2616, -0.6544, 0.181507, -0.585975, 0.754378, -0.233671
cut, 0.4741, 2.2604, -0.6544, 0.180217, -0.586373, 0.754891, -0.232009
cut, 0.4692, 2.2591, -0.6544, 0.178917, -0.586771, 0.755403, -0.230336
cut, 0.4644, 2.2579, -0.6544, 0.177609, -0.587168, 0.755914, -0.228653
cut, 0.4596, 2.2567, -0.6544, 0.176293, -0.587565, 0.756425, -0.226957
cut, 0.4547, 2.2554, -0.6544, 0.174967, -0.587961, 0.756935, -0.225251
cut, 0.4499, 2.2542, -0.6544, 0.173633, -0.588356, 0.757444, -0.223534
